,Made Donation in March 2007
659,0.455312401
276,0.096418329
263,0.291685313
303,0.428650647
83,0.60869509
500,0.809677422
530,0.46222797
244,0.090152778
249,0.010092797
728,0.050525457
129,0.132897332
534,0.150381595
317,0.250075251
401,0.338175565
696,0.287524313
192,0.126697809
176,0.235968962
571,0.477763921
139,0.090992533
423,0.294842988
563,0.486747116
56,0.349321693
528,0.421022117
101,0.228254884
467,0.218138576
382,0.251920283
466,0.344093829
294,0.093481734
512,0.283884674
659,0.455312431
389,0.264542937
487,0.025771171
701,0.15384838
419,0.259911478
536,0.129641384
240,0.268287033
508,0.151410624
515,0.093481734
283,0.382849485
650,0.338175565
65,0.510965049
228,0.131347358
741,0.047726367
297,0.387964398
464,0.086666524
63,0.236512274
231,0.350653023
28,0.079896562
248,0.093481734
357,0.146106854
300,0.474520594
726,0.496151388
680,0.130721346
520,0.328932762
254,0.028709777
582,0.223288998
143,0.205654532
98,0.404954016
1,0.286130637
221,0.44153592
352,0.228254884
64,0.079088181
138,0.263905019
745,0.319538891
64,0.079088181
688,0.068225414
623,0.080282457
289,0.222066402
174,0.36681959
690,0.338175565
105,0.167062089
427,0.108427919
48,0.008611594
14,0.228254884
657,0.029937979
301,0.143506423
455,0.093602084
579,0.250623673
722,0.08787258
98,0.452203721
491,0.008611594
303,0.434966564
466,0.344093829
65,0.510965049
300,0.489119053
9,0.045851115
622,0.126697809
323,0.069883101
289,0.227736369
568,0.332812756
290,0.228254884
156,0.099279642
464,0.088178754
426,0.087293133
306,0.304354846
4,0.379871875
12,0.352843046
187,0.28895551
406,0.057375349
96,0.46222797
509,0.236512274
733,0.130229592
548,0.044034995
478,0.233950898
501,0.131338164
127,0.431877255
199,0.201089934
299,0.421124041
162,0.338175565
235,0.090586342
23,0.154240131
473,0.209727243
487,0.025898859
683,0.49502942
303,0.434966564
309,0.02761925
569,0.038930818
34,0.43723008
686,0.699168444
84,0.237420559
733,0.130229592
537,0.558176398
181,0.137101561
453,0.63508898
67,0.398046941
161,0.35288474
307,0.294645399
703,0.149472266
181,0.137101561
246,0.106655516
316,0.363208175
278,0.126697809
346,0.161902323
545,0.338175565
419,0.259911478
694,0.46222797
622,0.126697809
663,0.04069826
262,0.709359348
461,0.207492307
373,0.754290521
233,0.226236746
466,0.279404074
207,0.205654532
263,0.338175565
16,0.038930818
513,0.037302386
449,0.30550611
429,0.019995399
701,0.258307725
632,0.031761862
529,0.620744586
245,0.348338038
344,0.118724309
353,0.09459313
241,0.279074848
633,0.081057318
624,0.15384838
726,0.525312126
189,0.133620158
138,0.268616468
402,0.096590765
511,0.405104131
590,0.447669148
334,0.157648265
447,0.04884401
119,0.279404074
389,0.267367125
644,0.228254884
423,0.294842988
131,0.038930818
405,0.007005649
82,0.228254884
643,0.734956801
156,0.10007564
617,0.041293636
574,0.42653355
272,0.219720721
613,0.055812813
545,0.228254884
685,0.093481734
570,0.172686964
537,0.555060446
691,0.078645177
85,0.400547683
483,0.106655516
455,0.094346099
93,0.172002271
744,0.246306285
33,0.107189961
321,0.730753779
523,0.204019889
426,0.087818898
196,0.07835409
301,0.141414151
103,0.0878307
224,0.049090516
454,0.082403682
585,0.037844606
154,0.346590221
