,Made Donation in March 2007
659,0.459923835
276,0.122598421
263,0.349005674
303,0.323020257
83,0.504241329
500,0.70829554
530,0.586962719
244,0.107948307
249,0.01062387
728,0.085816055
129,0.183647242
534,0.168780761
317,0.303313117
401,0.411189416
696,0.291738823
192,0.153898422
176,0.245399824
571,0.433893699
139,0.106461199
423,0.286898051
563,0.412838018
56,0.317083726
528,0.369564961
101,0.241438963
467,0.224254817
382,0.352330553
466,0.357480328
294,0.111940398
512,0.312088927
659,0.459923835
389,0.363541977
487,0.047816129
701,0.131704508
419,0.266087828
536,0.146046811
240,0.258514499
508,0.166578959
515,0.111940398
283,0.342786568
650,0.411189416
65,0.624174044
228,0.154141083
741,0.079368575
297,0.361422237
464,0.121491055
63,0.249699565
231,0.38543599
28,0.10840818
248,0.111940398
357,0.175093847
300,0.489759807
726,0.614979484
680,0.166237361
520,0.296659612
254,0.040548464
582,0.216843725
143,0.232205877
98,0.447260799
1,0.283418946
221,0.497633867
352,0.241438963
64,0.097212663
138,0.292328952
745,0.40476697
64,0.097212663
688,0.090618409
623,0.114795573
289,0.200227471
174,0.331612131
690,0.411189416
105,0.188326581
427,0.148234861
48,0.006138963
14,0.241438963
657,0.052424052
301,0.153898868
455,0.125981658
579,0.299401314
722,0.105468323
98,0.482574985
491,0.006138963
303,0.315473683
466,0.357480328
65,0.624174044
300,0.471618555
9,0.047502733
622,0.153898422
323,0.093072337
289,0.192096576
568,0.318928556
290,0.241438963
156,0.112430455
464,0.108168071
426,0.123832318
306,0.230694565
4,0.311817437
12,0.34267932
187,0.278576432
406,0.075591825
96,0.586962719
509,0.249699565
733,0.153674589
548,0.068086532
478,0.233456086
501,0.173252924
127,0.450520418
199,0.229333273
299,0.415070227
162,0.411189416
235,0.132256753
23,0.19606844
473,0.189547771
487,0.050443219
683,0.412539794
303,0.315473683
309,0.043105111
569,0.038188966
34,0.37118094
686,0.592129144
84,0.250596644
733,0.153674589
537,0.456515453
181,0.166815612
453,0.749166005
67,0.403823967
161,0.46774735
307,0.276085724
703,0.205126926
181,0.166815612
246,0.151296227
316,0.343635139
278,0.153898422
346,0.214255844
545,0.411189416
419,0.266087828
694,0.586962719
622,0.153898422
663,0.062100445
262,0.579661831
461,0.315248769
373,0.84544832
233,0.204259268
466,0.239795471
207,0.232205877
263,0.411189416
16,0.038188966
513,0.051742275
449,0.294066245
429,0.032296934
701,0.226621749
632,0.042292746
529,0.52909909
245,0.286668574
344,0.137217429
353,0.13907409
241,0.34279543
633,0.096729798
624,0.131704508
726,0.570569077
189,0.160928065
138,0.281162832
402,0.116221802
511,0.395725073
590,0.452762892
334,0.181175553
447,0.060733821
119,0.239795471
389,0.350212989
644,0.241438963
423,0.286898051
131,0.038188966
405,0.004803989
82,0.241438963
643,0.883402458
156,0.109398885
617,0.061693519
574,0.488949954
272,0.310522044
613,0.066454344
545,0.241438963
685,0.111940398
570,0.17459193
537,0.511866869
691,0.094171383
85,0.45116505
483,0.151296227
455,0.120417787
93,0.206685421
744,0.220580907
33,0.153778981
321,0.639336427
523,0.212197836
426,0.124286955
196,0.094042511
301,0.131517726
103,0.105172206
224,0.070680075
454,0.085182796
585,0.048948239
154,0.29613836
