,Made Donation in March 2007
659,0.448100335
276,0.126781103
263,0.352480345
303,0.327721133
83,0.511009096
500,0.733772758
530,0.57751052
244,0.144475827
249,0.026724193
728,0.100151186
129,0.193441382
534,0.16510953
317,0.278149768
401,0.404951257
696,0.299848686
192,0.182389151
176,0.250727925
571,0.434275763
139,0.094191004
423,0.293778792
563,0.412261092
56,0.317311532
528,0.371719064
101,0.230469109
467,0.248606137
382,0.316388401
466,0.359454683
294,0.137753032
512,0.320375986
659,0.448100335
389,0.326832999
487,0.046512958
701,0.124464695
419,0.25807086
536,0.201382809
240,0.263009755
508,0.226618276
515,0.137753032
283,0.343418501
650,0.404951257
65,0.613661718
228,0.158802564
741,0.080136763
297,0.363914699
464,0.137958204
63,0.244156352
231,0.386087398
28,0.124071674
248,0.137753032
357,0.181804177
300,0.477559991
726,0.609843005
680,0.173414
520,0.295953702
254,0.059737536
582,0.212555999
143,0.219210415
98,0.453473611
1,0.294568698
221,0.479971821
352,0.230469109
64,0.135264873
138,0.277669145
745,0.373219173
64,0.135264873
688,0.114477282
623,0.130895005
289,0.199224829
174,0.325598497
690,0.404951257
105,0.194598997
427,0.156843892
48,0.01684595
14,0.230469109
657,0.060760932
301,0.149892905
455,0.139114195
579,0.272405569
722,0.109467185
98,0.485772361
491,0.01684595
303,0.32048209
466,0.359454683
65,0.613661718
300,0.460780744
9,0.082728948
622,0.182389151
323,0.116304317
289,0.191786134
568,0.324056982
290,0.230469109
156,0.175118734
464,0.115753297
426,0.139199555
306,0.236095838
4,0.313097382
12,0.346219454
187,0.2697805
406,0.074466221
96,0.57751052
509,0.244156352
733,0.154624249
548,0.081021219
478,0.237655169
501,0.186835431
127,0.451959778
199,0.212469853
299,0.403520478
162,0.404951257
235,0.143935057
23,0.21477743
473,0.159657157
487,0.049127532
683,0.414783537
303,0.32048209
309,0.054705188
569,0.063220138
34,0.371237482
686,0.607917502
84,0.284732413
733,0.154624249
537,0.462362925
181,0.177876512
453,0.751012639
67,0.390169295
161,0.434268826
307,0.27486772
703,0.215909188
181,0.177876512
246,0.165493551
316,0.346717947
278,0.182389151
346,0.223379644
545,0.404951257
419,0.25807086
694,0.57751052
622,0.182389151
663,0.088934544
262,0.590427461
461,0.271237299
373,0.862909916
233,0.163247681
466,0.227306025
207,0.219210415
263,0.404951257
16,0.063220138
513,0.058634627
449,0.298127647
429,0.044314205
701,0.167928297
632,0.062369986
529,0.536558957
245,0.291153465
344,0.140636131
353,0.149922031
241,0.31874203
633,0.109724252
624,0.124464695
726,0.570212397
189,0.180591374
138,0.267652454
402,0.13511844
511,0.392614148
590,0.471513917
334,0.217468341
447,0.072443066
119,0.227306025
389,0.315022095
644,0.230469109
423,0.293778792
131,0.063220138
405,0.014093487
82,0.230469109
643,0.897442654
156,0.166918974
617,0.073600111
574,0.482858183
272,0.269585742
613,0.105910486
545,0.230469109
685,0.137753032
570,0.176822209
537,0.514291006
691,0.110020937
85,0.432167636
483,0.165493551
455,0.129497377
93,0.206946344
744,0.172113326
33,0.1641599
321,0.660755158
523,0.219140311
426,0.136328366
196,0.113443062
301,0.127489146
103,0.112341958
224,0.087248266
454,0.086746029
585,0.057388042
154,0.280339269
